name,price_usd,subscription,purchases,est_gross_usd,users,likes,trial_days,freemium,third_party,publisher,created,updated,editor_types,tagline,id
Colormate,5.0,True,3,15.0,9692,313,0,True,False,dustin,2024-11-26,2025-02-04,"design,whiteboard",Color Search Engine & Tools for Figma,ba6e4b63-07ab-4f12-bc19-44b6f87abed4
BatchStudio: CSV Import with Images,5.0,True,3,15.0,63,1,0,True,False,shmeltstudios,2026-04-07,2026-09-08,design,Import a CSV and fill text AND photos across hundreds of frames in seconds.,2e497d43-dc3c-41d9-8181-4f65e0b32e47
Table Generator & Creator,2.0,True,7,14.0,206202,1160,0,True,False,appcano,2024-11-22,2026-04-20,"design,whiteboard",Generate and customize tables in seconds,49fb5e4c-b7e5-467c-9d30-a9377b2a979c
RealCover,2.0,True,7,14.0,4539,221,0,True,False,MMMMMMarcus,2024-11-26,2024-11-26,design,"Find and add covers for music artworks, app icons, and movie posters directly within Figma.",f51ec744-3a08-4240-a53e-8fc28dd0b259
Dotsss Annotation Plugin,2.0,False,7,14.0,660,22,0,True,False,koelmeyer,2025-01-30,2025-02-19,"design,whiteboard","Annotate with smart dots that reorder as you edit. Organize by group, color, or project. 🎨🔢",505bec05-d9f8-428a-91cf-e83b3c8bc9b0
Hand drawing sketching,4.0,True,3,12.0,7383,21,0,True,False,tommyjepsen,2025-04-11,2025-04-11,design,"Hand-drawn look and feel tool for arrows, paths boxes and circles",f0683190-b46d-47af-b830-e903275d91b3
AI Microcopies by Wordtract,12.0,True,1,12.0,2336,67,0,True,False,wordtract,2024-11-25,2025-01-17,"design,whiteboard","AI-generated microcopies, you can say goodbye to lorem ipsum",62df0453-2bfd-47b9-9be5-0f44d5015f3d
FontSwap - Replace fonts and styles in bulk,3.0,True,4,12.0,1898,13,0,True,False,exdesigner,2026-01-19,2026-04-20,"cooper,design,slides,whiteboard","Manage font, style, wight and size in across whole document in one click",1d712505-f054-4d6d-86c5-896588e6aa05
Contrastio - Contrast & Accessibility Checker,4.0,False,3,12.0,136,3,0,True,False,fjaka,2025-02-21,2025-02-22,design,Instant WCAG accessibility checks for your Figma designs,9e0181ba-bf57-4807-8883-09c7e92c5e65
Cutout,2.0,True,5,10.0,70362,1156,0,True,False,lichin,2024-11-26,2024-11-26,"design,whiteboard",Lift the object from a photo or remove background with just a click,c1a99b87-330a-4dc2-b49e-264b87e9ab82
Data Table Builder Pro,5.0,True,2,10.0,777,25,0,True,False,superbig,2025-01-07,2025-01-16,design,"Create, customize, and save reusable data tables with CSV data or easy to edit templates.",6f7611f3-4506-4a0c-8437-8457cb71a96f
Calendar,5.0,False,2,10.0,227,1,0,True,False,guard2,2026-07-23,2026-09-01,"design,whiteboard","Native, editable month calendars — 祝日 computed, JA & EN. Five free, then $5 once.",8750e8f7-4373-406d-b8b0-e5ab492f0283
FigmaMate,9.0,False,1,9.0,1271,23,0,True,False,burakdonertas,2024-11-26,2024-11-26,design,All in one Plugin,ac3d441a-c8be-4df9-beb6-102f8b379561
Pattern Studio,9.0,False,1,9.0,733,9,0,True,False,fontma,2026-08-09,2026-08-11,design,"Turn any Figma artwork into seamless patterns, Fastly",36bb8b0d-9ba8-41ec-be1c-b30b30b7b8d8
Shape Builder Tool,2.0,True,4,8.0,13736,260,0,True,False,hurryflash,2024-11-26,2024-11-26,design,A shape builder tool that enhances your Boolean operations for creating shapes in Figma.,b932ef67-f6a6-4f79-951f-503279b01e24
FigNotion (Deprecated),7.0,True,1,7.0,2081,113,0,True,False,Martin,2024-11-26,2026-01-18,"design,whiteboard",Export sticky notes from FigJam into Notion Databases,4b90b925-7202-4116-abce-01e6a6845a3c
Film Grain,2.0,False,3,6.0,4797,26,0,True,False,vennory,2025-12-18,2025-12-18,design,"Film grain generator with dust, scratches, vignette & noise texture overlays",6884858f-7c11-49e1-a82a-d3830be24683
AI Text Effect Generator,3.0,True,2,6.0,2171,31,0,True,False,hellofont,2026-02-11,2026-04-03,"design,whiteboard","Create expressive text designs for banners, posters, and headlines—ready for commercial use and inst",1803728a-08ca-4241-904d-df6d6a729cf4
icon-transfor,2.0,False,3,6.0,1576,14,0,True,False,zhengpq,2024-11-25,2024-12-28,"design,whiteboard",A plugin to convert svg selected into background-image dataurl or base64 in your clipboard,3b2f874d-4de2-4631-80d5-25f6f9780615
Beatflyer,5.0,True,1,5.0,54251,861,0,True,False,nuthinking,2024-11-25,2024-11-25,design,Create engaging videos using powerful effects that can sync to the music.,97778833-2686-48fd-9a2c-eb52d7311290
Figmage,5.0,True,1,5.0,3645,109,0,True,False,877909e0_286f_4,2024-11-25,2024-11-25,design,Shareable image links from Figma,779bc013-df5e-4fb6-a01e-3ed5893da98d
Klever - Instant Usability testing,5.0,True,1,5.0,2656,144,0,True,False,dusskapark,2024-11-26,2024-11-26,"design,whiteboard",A clever analyzing tool for UI powered by AI,198a9990-de76-47bf-906d-86369c74a8a9
Fluid Color Palettes,5.0,False,1,5.0,1751,28,0,True,False,oliverpan2,2024-11-26,2024-11-26,design,Fully variable-based colors. TailwindCSS-styled palettes. shadcn/ui color theme.,9b79cc93-9c29-4949-8bc7-c3f4104c9ade
JSON Exporter/Importer,5.0,True,1,5.0,1439,10,0,True,False,makindajack,2026-01-21,2026-03-03,design,"Export and import design variables in JSON, CSS, SCSS, Swift, and more",82cccf46-ae62-42b3-9364-141232edf885
Cult Translator,5.0,True,1,5.0,1022,37,0,True,False,cultextensions,2025-02-16,2025-11-10,design,Instantly Translate Your Designs – Speak Your User's Language!,2175f692-c8f7-418d-b674-54a36eed1e8c
Copy-writer agent | AI brand voice,5.0,True,1,5.0,624,9,0,True,False,ahmedmigo,2025-04-06,2025-07-13,"design,slides,whiteboard",Your Content AI Text Assistant in Figma (Choose your prefered LLM model),a66ed547-640b-4959-94c3-190b226646ea
Swap Penguin - Match & Replace Components,5.0,True,1,5.0,293,1,0,True,False,wisteria_figma,2026-02-02,2026-04-25,design,Instantly replace layers with the most similar components.,7d7953a2-d4a4-405a-98d4-d9e5ec9c312b
SafeToSell - Trademark checker,5.0,True,1,5.0,58,3,0,True,False,simonij,2025-03-26,2025-05-16,design,Instantly check your designs for trademarks and banned phrases before uploading.,d33119f5-f159-4e7c-b50d-16a6b17080e3
Typper - Texts,4.0,True,1,4.0,41012,593,0,True,False,typper,2024-11-26,2025-05-16,"design,whiteboard","AI powered text creation in Figma – generate, edit, and translate with AI",37815c61-37cd-4263-98a3-655236d394f8
Orbit,2.0,False,2,4.0,5299,48,0,True,False,nalimov,2024-11-26,2024-11-26,design,Curve your words around the circle,6340d55b-f5bb-4bc2-a962-56c54956e114
Summarize AI - Free Unlimited Use,2.0,True,2,4.0,4027,45,0,True,False,saranomy,2024-11-26,2026-04-22,"design,slides,whiteboard","Summarize feedbacks, documents, sticky notes",227b9cbb-e66e-4ca0-baf2-9f5abbbe56b7
Lorem Picsum to Figma,2.0,False,2,4.0,3521,22,0,True,False,keno_reloaded,2024-11-26,2024-11-26,"design,slides,whiteboard",The Lorem Ipsum for photos arrived to Figma,77790e5f-34e2-477c-bb22-480565b6e60d
Arc & Circular Text,4.0,False,1,4.0,721,0,0,True,False,milabanerjee,2026-03-31,2026-05-11,design,Lets you place any text layer along a circular arc — both inside and outside.,6fcbbf6d-497f-47b2-957f-0fbef0d3f58f
Paint Mixer - Try for FREE,4.0,False,1,4.0,626,14,0,True,False,saranomy,2025-01-04,2026-04-08,"design,slides,whiteboard",Realistic color blending using Kubelka-Munk theory,4ec08ea2-9749-4875-ae5d-9b2bba5f239c
BarQR Generator - Barcode & QR Code (Bulk Excel & Vector),4.0,True,1,4.0,81,3,0,True,False,tuningzhou,2026-02-05,2026-07-27,design,"Generate Vector Barcodes (EAN-13, CODE128) & Custom QR Codes in Bulk via Excel. 100% Offline & Free.",4b1856b6-91b3-4055-80d7-5f951abef796
Viewports,3.0,True,1,3.0,38649,837,0,True,False,rojcyk,2024-11-22,2025-12-03,design,Preview your designs across real-world device sizes from global markets.,d15d11b0-d49d-4e97-8496-2cd876f14305
Logo Grid,3.0,True,1,3.0,1426,26,0,True,False,qiaohe,2026-03-31,2026-05-08,design,"Grids and safe areas for logo specifications, generated automatically.",e98031fb-2597-4504-8fd5-b2ae629c3b45
Flowcreate,2.0,True,1,2.0,1050,35,0,True,False,sorel,2025-09-01,2025-09-05,design,"Generate flows with AI, customize them with your own components.",00ff0825-6c6b-49f3-953f-a65d5083a1de
"Fill Texts to Layers - Words, Phrases, Letters, and Numbers",2.0,True,1,2.0,313,8,0,True,False,wblekhoa,2025-08-10,2026-04-27,"cooper,design,slides,whiteboard","One-click text distribution to layers for Words, Phrases, Letters, and Numbers",c60dab5e-b033-4afb-af05-754e61722875
"Icons8 — icons, illustrations, photos",0.0,,0,0.0,2297888,9687,,,True,Icons8,2024-11-25,2026-06-04,"design,slides,whiteboard",All our graphics at your fingertips.,8cceb7e5-0886-4dff-b423-f1086996ea1b
Remove BG,0.0,,0,0.0,1719879,17101,,,True,a,2024-11-25,2024-11-25,design,Remove the background of images automatically with just a single click.,21c10f81-1bd6-46fc-9ced-17b614a42caa
"Mockup Plugin – Devices Mockups, Print Mockups, Branding Mockups",0.0,,0,0.0,1570839,19558,,,True,lsgraphics,2024-11-25,2026-05-03,design,Most installed mockup plugin. 3800+ device & branding mockups,1a6bc577-91bb-4909-9e03-94d1ab5ee4de
Material Design Icons,0.0,,0,0.0,1499808,12465,,,True,Icons8,2024-11-25,2026-06-04,"design,whiteboard",Instant easy access to the entire Material Design Icons library,44cbb4de-2167-45b3-86a0-bf9d8b908948
Open Iconic Icon Set by Iconduck,0.0,,0,0.0,1232330,1341,,,True,iconduck,2024-11-26,2025-08-20,"design,whiteboard",Open Iconic Icon Set is an open source library of 223 icons. Free to use in all designs!,ea1795cc-7f0b-4a5d-bbbb-96661e8ed7ef
"IconScout: Icons, Illustrations, 3D Assets & Lottie Animations",0.0,,0,0.0,1176851,4653,,,True,iconscout,2024-11-25,2026-06-09,"design,slides,whiteboard","Access 14.1M+ Free & Premium Icons, 3D, Illustrations & Lottie Animations. Stickers, Logos & Emojis.",cc9bb892-f87c-4b9a-b603-48ddd65c5634
Artboard Mockups and Animations,0.0,,0,0.0,962913,9244,,,True,artboardstudio,2024-11-25,2026-08-13,"cooper,design,slides,whiteboard","Device mockups, branding mockups, apparel mockups and video mockups with animation templates",a10b4e7c-9395-4822-9f9d-2d260d03e8e6
Image Tracer,0.0,,0,0.0,839186,8030,,,True,Dave,2024-11-22,2025-02-12,design,Easily convert images into vector layers directly in Figma.,fc6a68ff-94ab-415f-bf5f-a288b7ba139b
